state,last_action_name,OrganizationalEntity,TaskNumber,Overspent,Cost Type_0,Project_0,ProjectNumber,ActivityNumber,travel permit number,BudgetNumber,DeclarationNumber_0,TotalDeclared,RequestedAmount_0,RequestedBudget,OverspentAmount,execution_time_minutes,initial
216,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,medium,medium,medium,low,low,low,medium,low,high,low,False
217,Permit APPROVED by SUPERVISOR,organizational unit 65458,,False,,,medium,medium,medium,high,low,high,low,high,low,medium,False
218,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,,False,,,medium,medium,medium,high,low,high,low,high,low,medium,False
219,Declaration REJECTED by SUPERVISOR,organizational unit 65456,,False,,,low,high,medium,low,low,medium,medium,medium,medium,medium,False
220,Send Reminder,organizational unit 65458,task 427,False,,,medium,medium,medium,high,low,low,low,medium,medium,medium,False
221,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,medium,medium,high,low,high,low,high,high,medium,False
222,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,medium,medium,medium,high,low,high,low,high,high,medium,False
223,Permit REJECTED by SUPERVISOR,organizational unit 65456,task 427,False,,,medium,high,medium,low,low,medium,low,medium,medium,medium,False
224,Permit REJECTED by EMPLOYEE,organizational unit 65466,,False,,,low,low,medium,low,low,medium,medium,low,high,medium,False
225,Request For Payment SAVED by EMPLOYEE,organizational unit 65456,,True,0.0,project 503,high,low,medium,low,medium,medium,medium,medium,high,medium,False
226,Request For Payment REJECTED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,high,low,medium,high,medium,low,medium,low,low,medium,False
227,Permit REJECTED by ADMINISTRATION,organizational unit 65466,,False,,,low,low,medium,low,low,low,medium,low,high,low,False
228,Declaration REJECTED by BUDGET OWNER,organizational unit 65456,task 427,False,,,low,high,medium,medium,low,low,low,low,medium,low,False
229,Declaration REJECTED by SUPERVISOR,organizational unit 65455,task 427,False,0.0,project 503,medium,low,medium,high,medium,medium,high,medium,high,medium,False
230,Declaration SAVED by EMPLOYEE,organizational unit 65459,task 427,False,,,low,high,medium,high,low,low,high,high,low,high,False
231,Declaration REJECTED by BUDGET OWNER,organizational unit 65458,,False,0.0,project 503,high,high,medium,high,medium,medium,high,medium,low,low,False
232,Declaration SAVED by EMPLOYEE,organizational unit 65454,,True,0.0,project 503,low,high,medium,high,medium,medium,high,medium,high,medium,False
233,Permit REJECTED by BUDGET OWNER,organizational unit 65466,,True,,,low,low,high,low,low,low,high,low,high,low,False
234,start,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,low,low,low,medium,low,True
235,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,low,low,low,medium,low,False
236,Permit APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,medium,medium,high,medium,low,low,low,low,medium,low,False
237,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,medium,medium,high,medium,medium,low,medium,low,high,low,False
238,Start trip,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,low,low,low,medium,low,False
239,End trip,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,low,low,low,medium,low,False
240,Declaration SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,medium,low,low,high,low,False
241,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,,,medium,medium,high,medium,low,medium,low,medium,medium,medium,False
242,Declaration REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,,,medium,medium,high,medium,medium,medium,low,medium,high,medium,False
243,Declaration APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,medium,medium,high,medium,low,medium,low,low,high,low,False
244,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,low,medium,low,medium,low,False
245,Request Payment,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,medium,low,low,medium,low,False
246,Payment Handled,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,medium,low,low,high,low,False
247,archive_application,organizational unit 65458,task 427,False,,,medium,medium,high,medium,medium,low,low,low,medium,low,False
248,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,medium,medium,high,low,medium,medium,low,low,high,low,False
249,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,medium,medium,high,low,medium,medium,low,low,medium,low,False
250,Send Reminder,organizational unit 65458,task 427,False,,,medium,medium,high,low,medium,low,low,low,medium,high,False
251,Permit REJECTED by ADMINISTRATION,organizational unit 65454,,False,,,medium,high,high,low,medium,medium,low,medium,high,low,False
252,Permit REJECTED by EMPLOYEE,organizational unit 65456,task 427,False,,,medium,medium,high,low,medium,medium,low,medium,medium,medium,False
253,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,low,high,high,low,high,low,high,low,medium,False
254,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,medium,low,high,high,low,high,low,high,low,medium,False
255,Declaration REJECTED by BUDGET OWNER,organizational unit 65456,,False,,,low,low,high,low,low,medium,low,medium,low,medium,False
256,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,medium,low,high,high,medium,high,low,high,high,medium,False
257,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,medium,low,high,high,medium,high,low,high,high,medium,False
258,Declaration REJECTED by SUPERVISOR,organizational unit 65458,,False,,,low,high,high,low,low,low,medium,low,high,medium,False
259,Permit REJECTED by BUDGET OWNER,organizational unit 65458,task 427,False,,,high,low,high,medium,low,low,medium,medium,low,high,False
260,Permit REJECTED by SUPERVISOR,organizational unit 65456,,False,,,low,high,high,low,low,low,low,medium,low,medium,False
261,start,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,high,high,True
262,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,high,high,False
263,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,low,medium,False
264,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,medium,medium,high,False
265,Request For Payment SUBMITTED by EMPLOYEE,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,high,high,False
266,Request For Payment APPROVED by ADMINISTRATION,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,low,high,False
267,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,medium,high,False
268,Request Payment,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,medium,high,False
269,Payment Handled,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,medium,high,False
270,Start trip,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,high,high,False
271,End trip,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,high,high,False
272,Declaration SUBMITTED by EMPLOYEE,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,high,medium,False
273,Declaration APPROVED by ADMINISTRATION,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,medium,medium,False
274,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,medium,medium,medium,False
275,archive_application,organizational unit 65455,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,high,high,False
276,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,high,high,False
277,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,high,high,False
278,Send Reminder,organizational unit 65458,task 427,False,0.0,project 503,high,medium,high,high,medium,medium,high,high,medium,high,False
279,Permit APPROVED by BUDGET OWNER,organizational unit 65458,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,high,medium,False
280,Request For Payment APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,high,high,False
281,Declaration REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,low,high,False
282,Declaration REJECTED by EMPLOYEE,organizational unit 65455,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,medium,high,False
283,Declaration APPROVED by BUDGET OWNER,organizational unit 65458,task 427,False,0.0,project 503,high,medium,high,high,medium,high,high,high,high,medium,False
284,Declaration REJECTED by SUPERVISOR,organizational unit 65455,task 427,False,0.0,project 503,high,high,high,high,medium,high,medium,high,low,medium,False
285,Permit REJECTED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,high,high,high,high,medium,low,medium,low,low,low,False
286,Permit REJECTED by EMPLOYEE,organizational unit 65455,task 427,True,0.0,project 503,high,medium,high,high,medium,high,high,high,medium,high,False
287,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65454,,True,0.0,project 503,medium,high,high,medium,medium,high,high,high,high,low,False
288,Request For Payment REJECTED by EMPLOYEE,organizational unit 65455,,True,0.0,project 503,high,high,high,high,medium,high,high,high,high,high,False
289,Declaration SAVED by EMPLOYEE,organizational unit 65460,,False,0.0,project 503,low,low,high,low,medium,high,medium,high,low,low,False
290,start,organizational unit 65455,task 427,False,,,high,high,high,medium,medium,medium,low,medium,medium,low,True
291,Permit SUBMITTED by EMPLOYEE,organizational unit 65455,task 427,False,,,high,high,high,high,medium,medium,low,medium,medium,low,False
292,Permit APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,,,high,medium,high,high,medium,medium,low,low,high,low,False
293,Permit REJECTED by BUDGET OWNER,organizational unit 65458,,False,,,medium,high,high,medium,medium,low,low,low,high,high,False
294,Permit REJECTED by EMPLOYEE,organizational unit 65458,task 427,False,,,high,high,high,high,medium,medium,low,medium,high,medium,False
295,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65455,task 427,False,,,high,high,high,high,medium,low,medium,low,medium,low,False
296,Start trip,organizational unit 65455,task 427,False,,,high,high,high,medium,medium,medium,low,medium,medium,low,False
297,End trip,organizational unit 65455,task 427,False,,,high,high,high,medium,medium,medium,low,medium,medium,low,False
298,Send Reminder,organizational unit 65458,task 427,False,,,high,medium,high,low,medium,low,low,low,low,high,False
299,archive_application,organizational unit 65455,task 427,False,,,high,high,high,medium,medium,medium,low,medium,medium,low,False
300,Permit APPROVED by BUDGET OWNER,organizational unit 65458,task 427,False,,,high,medium,high,high,medium,low,low,low,high,low,False
301,Request For Payment SUBMITTED by EMPLOYEE,organizational unit 65459,task 427,True,0.0,project 503,high,low,high,medium,medium,high,medium,medium,high,high,False
302,Request For Payment APPROVED by ADMINISTRATION,organizational unit 65459,,True,0.0,project 503,medium,low,high,high,medium,high,medium,high,high,high,False
303,Request For Payment APPROVED by BUDGET OWNER,organizational unit 65454,task 427,True,0.0,project 503,high,high,high,high,medium,medium,medium,medium,high,high,False
304,Declaration SUBMITTED by EMPLOYEE,organizational unit 65455,task 427,False,,,high,high,high,high,medium,medium,low,medium,low,medium,False
305,Request For Payment REJECTED by ADMINISTRATION,organizational unit 65459,task 427,True,0.0,project 503,high,medium,high,low,medium,high,medium,medium,high,high,False
306,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65459,,True,0.0,project 503,medium,low,high,high,medium,high,medium,high,high,high,False
307,Request For Payment REJECTED by EMPLOYEE,organizational unit 65459,task 427,True,0.0,project 503,high,medium,high,low,medium,high,medium,medium,high,medium,False
308,Declaration APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,high,medium,high,high,medium,medium,low,medium,medium,medium,False
309,Declaration APPROVED by BUDGET OWNER,organizational unit 65458,task 427,False,,,high,medium,high,high,medium,medium,medium,low,high,low,False
310,Request Payment,organizational unit 65455,task 427,False,,,high,high,high,high,medium,medium,low,medium,low,medium,False
311,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65455,task 427,False,,,high,high,high,high,medium,low,medium,medium,low,medium,False
312,Payment Handled,organizational unit 65455,task 427,False,,,high,high,high,high,medium,medium,low,medium,low,medium,False
313,Permit APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,high,high,high,medium,medium,high,low,high,low,high,False
314,Permit FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,high,high,high,medium,medium,high,low,high,low,high,False
315,Declaration REJECTED by ADMINISTRATION,organizational unit 65458,,False,,,high,low,high,high,medium,high,low,high,high,medium,False
316,Declaration REJECTED by EMPLOYEE,organizational unit 65455,task 427,False,,,high,medium,high,medium,medium,medium,medium,medium,medium,medium,False
317,Request For Payment APPROVED by SUPERVISOR,organizational unit 65458,task 427,True,0.0,project 503,medium,high,high,medium,medium,high,high,high,high,high,False
318,Request For Payment FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,True,0.0,project 503,medium,high,high,medium,medium,high,high,high,high,high,False
319,Request For Payment SAVED by EMPLOYEE,organizational unit 65455,task 427,True,0.0,project 503,high,high,high,medium,medium,high,high,medium,high,low,False
320,Declaration APPROVED by SUPERVISOR,organizational unit 65458,task 427,False,,,high,high,high,medium,medium,high,low,high,low,medium,False
321,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,task 427,False,,,high,high,high,medium,medium,high,low,high,low,medium,False
322,Permit REJECTED by SUPERVISOR,organizational unit 65458,,False,0.0,project 503,medium,high,high,high,medium,high,high,high,low,high,False
323,Declaration APPROVED by SUPERVISOR,organizational unit 65458,,True,0.0,project 503,medium,high,high,high,medium,high,high,high,high,high,False
324,Declaration FINAL_APPROVED by DIRECTOR,organizational unit 65458,,True,0.0,project 503,medium,high,high,high,medium,high,high,high,high,high,False
325,Permit APPROVED by PRE_APPROVER,organizational unit 65455,task 427,True,0.0,project 503,high,high,high,high,medium,medium,high,medium,high,high,False
326,Request For Payment REJECTED by PRE_APPROVER,organizational unit 65455,,True,0.0,project 503,medium,high,high,medium,medium,high,medium,high,high,high,False
327,Request For Payment APPROVED by PRE_APPROVER,organizational unit 65455,task 427,True,0.0,project 503,high,high,high,medium,medium,medium,high,medium,high,high,False
328,Declaration REJECTED by PRE_APPROVER,organizational unit 65455,task 427,True,0.0,project 503,high,high,high,high,medium,high,high,medium,high,medium,False
329,Permit APPROVED by PRE_APPROVER,organizational unit 65455,,False,,,low,medium,high,medium,medium,low,low,low,low,medium,False
330,Declaration APPROVED by PRE_APPROVER,organizational unit 65455,,False,,,low,medium,high,medium,medium,low,low,low,low,medium,False
331,Declaration APPROVED by PRE_APPROVER,organizational unit 65455,task 427,True,0.0,project 503,high,high,high,high,medium,medium,high,medium,high,high,False
332,Declaration REJECTED by MISSING,organizational unit 65455,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,high,high,False
333,Declaration REJECTED by MISSING,organizational unit 65458,task 427,False,,,high,medium,high,medium,medium,medium,medium,medium,medium,low,False
334,Permit APPROVED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,high,high,medium,medium,low,medium,low,medium,low,False
335,Declaration APPROVED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,high,high,high,medium,medium,medium,medium,low,medium,False
336,Permit REJECTED by PRE_APPROVER,organizational unit 65458,task 427,False,,,low,high,high,low,medium,medium,low,low,medium,medium,False
337,Permit APPROVED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,high,low,medium,medium,low,low,low,low,high,False
338,Declaration APPROVED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,high,low,high,medium,medium,medium,medium,low,medium,False
339,Declaration REJECTED by PRE_APPROVER,organizational unit 65455,task 427,False,,,low,high,high,low,medium,medium,low,low,low,medium,False
340,Declaration REJECTED by MISSING,organizational unit 65458,,False,,,low,low,high,high,medium,medium,low,medium,medium,high,False
341,Declaration REJECTED by SUPERVISOR,organizational unit 65458,task 427,False,,,high,high,high,high,medium,medium,medium,medium,low,medium,False
342,Request For Payment REJECTED by MISSING,organizational unit 65455,task 427,True,0.0,project 503,high,high,high,low,medium,high,high,high,high,high,False
343,Declaration REJECTED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,medium,high,low,medium,low,medium,low,medium,low,False
344,Request For Payment APPROVED by PRE_APPROVER,organizational unit 65455,task 427,True,0.0,project 503,high,high,low,medium,medium,high,high,high,high,high,False
345,Request For Payment REJECTED by SUPERVISOR,organizational unit 65458,task 427,False,0.0,project 503,high,high,high,high,medium,medium,medium,medium,low,high,False
346,Permit REJECTED by PRE_APPROVER,organizational unit 65455,task 427,True,0.0,project 503,high,low,high,high,medium,medium,medium,medium,high,high,False
347,Request For Payment REJECTED by MISSING,organizational unit 65455,,False,0.0,project 503,high,high,low,medium,medium,high,high,high,high,high,False
348,Permit REJECTED by SUPERVISOR,organizational unit 65458,task 427,False,,,high,high,high,medium,medium,medium,low,medium,medium,low,False
349,Permit REJECTED by MISSING,organizational unit 65458,task 427,False,,,high,high,high,high,medium,medium,medium,high,low,medium,False
350,Declaration REJECTED by DIRECTOR,organizational unit 65458,,False,,,low,high,high,low,medium,high,low,high,low,high,False
351,Declaration REJECTED by MISSING,organizational unit 65455,task 427,False,0.0,,high,high,low,medium,medium,high,high,medium,high,medium,False
352,Permit REJECTED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,high,high,high,medium,medium,low,medium,high,high,False
353,Permit REJECTED by PRE_APPROVER,organizational unit 65455,task 427,False,,,high,high,low,high,medium,low,low,medium,low,low,False
354,Request For Payment REJECTED by PRE_APPROVER,organizational unit 65455,task 427,False,0.0,project 503,high,high,high,high,medium,low,low,low,low,low,False
355,Permit REJECTED by MISSING,organizational unit 65458,task 427,False,0.0,project 503,high,high,high,high,medium,high,high,high,high,high,False
356,Declaration REJECTED by PRE_APPROVER,organizational unit 65455,,False,,,low,high,low,high,medium,low,low,medium,low,high,False
357,Declaration REJECTED by BUDGET OWNER,organizational unit 65458,task 427,False,,,high,high,high,high,medium,high,low,high,low,high,False
358,Request For Payment SAVED by EMPLOYEE,organizational unit 65458,task 427,True,0.0,project 503,high,high,high,high,medium,high,high,high,high,low,False
359,Declaration REJECTED by BUDGET OWNER,organizational unit 65456,task 427,False,0.0,project 503,high,high,high,low,medium,medium,medium,medium,low,medium,False
360,Permit REJECTED by ADMINISTRATION,organizational unit 65454,task 427,False,,,high,high,high,high,medium,low,low,low,high,low,False
