state,last_action_name,Permit TaskNumber,Permit OrganizationalEntity,DeclarationNumber,Permit travel permit number,travel permit number,Permit BudgetNumber,Permit ProjectNumber,Permit ID,Permit id,BudgetNumber,Amount,RequestedAmount,OriginalAmount,Permit RequestedBudget,AdjustedAmount,execution_time_minutes,initial
206,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,medium,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,False
207,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65458,medium,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,False
208,Declaration REJECTED by SUPERVISOR,task 427,organizational unit 65456,medium,high,high,low,medium,high,high,high,low,low,low,low,low,low,False
209,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,medium,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,False
210,archive_application,task 427,organizational unit 65458,medium,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,False
211,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,medium,high,high,medium,high,high,high,high,high,high,high,medium,high,medium,False
212,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,medium,high,high,low,medium,high,high,high,medium,medium,medium,high,medium,high,False
213,Send Reminder,task 427,organizational unit 65458,medium,high,high,high,medium,high,high,medium,low,low,low,low,low,high,False
214,Declaration SAVED by EMPLOYEE,task 427,organizational unit 65459,high,high,high,high,low,medium,medium,high,low,low,low,high,low,high,False
215,Permit REJECTED by BUDGET OWNER,missing,organizational unit 65458,medium,high,high,low,low,medium,medium,high,high,high,high,high,high,low,False
216,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65458,medium,high,high,medium,medium,high,high,high,low,low,low,medium,low,medium,False
217,Request Payment,task 427,organizational unit 65458,medium,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,False
218,Payment Handled,task 427,organizational unit 65458,medium,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,medium,False
219,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65456,medium,high,high,low,medium,high,high,high,medium,medium,medium,high,medium,high,False
220,Permit APPROVED by SUPERVISOR,missing,organizational unit 65458,medium,high,high,high,low,high,high,medium,high,high,high,high,high,high,False
221,Permit FINAL_APPROVED by DIRECTOR,missing,organizational unit 65458,medium,high,high,high,low,high,high,medium,high,high,high,high,high,high,False
222,Declaration APPROVED by SUPERVISOR,missing,organizational unit 65459,medium,high,high,high,medium,medium,medium,high,high,high,high,high,high,high,False
223,Declaration FINAL_APPROVED by DIRECTOR,missing,organizational unit 65459,medium,high,high,high,medium,medium,medium,high,high,high,high,high,high,high,False
224,Permit REJECTED by ADMINISTRATION,missing,organizational unit 65454,medium,high,high,high,low,high,high,high,high,high,high,high,high,low,False
225,Permit REJECTED by EMPLOYEE,task 427,organizational unit 65454,medium,high,high,low,low,high,high,high,medium,medium,medium,high,medium,high,False
226,Permit REJECTED by SUPERVISOR,task 427,organizational unit 65454,medium,high,high,low,low,high,high,high,medium,medium,medium,medium,medium,low,False
227,Declaration REJECTED by BUDGET OWNER,missing,organizational unit 65458,medium,high,high,high,medium,high,high,medium,low,low,low,high,low,high,False
228,Permit REJECTED by BUDGET OWNER,task 427,organizational unit 65456,medium,high,high,low,high,high,high,high,low,low,low,high,low,high,False
229,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,medium,high,high,low,medium,high,high,medium,medium,medium,medium,medium,medium,medium,False
230,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,medium,high,high,medium,medium,high,high,medium,high,high,high,high,high,high,False
231,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,medium,high,high,medium,medium,high,high,medium,high,high,high,high,high,medium,False
232,Permit REJECTED by MISSING,missing,organizational unit 65455,medium,low,low,high,low,high,high,low,low,low,low,low,low,low,False
233,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,high,high,high,False
234,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,high,high,high,False
235,Send Reminder,missing,organizational unit 65458,medium,high,high,low,medium,high,high,medium,medium,medium,medium,low,medium,high,False
236,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65456,medium,high,high,low,medium,high,high,medium,medium,medium,medium,medium,medium,medium,False
237,Declaration REJECTED by SUPERVISOR,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,high,high,high,False
238,Permit REJECTED by ADMINISTRATION,missing,organizational unit 65466,medium,high,high,low,low,high,high,high,high,high,high,low,high,low,False
239,Permit REJECTED by EMPLOYEE,missing,organizational unit 65458,medium,high,high,medium,low,high,high,low,high,high,high,high,high,high,False
240,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,high,high,high,False
241,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,high,high,high,False
242,Declaration REJECTED by BUDGET OWNER,missing,organizational unit 65456,medium,high,high,low,low,high,high,medium,medium,medium,medium,high,medium,high,False
243,Declaration SAVED by EMPLOYEE,missing,organizational unit 65460,high,high,high,low,low,high,high,high,low,low,low,medium,low,medium,False
244,Permit REJECTED by BUDGET OWNER,missing,organizational unit 65458,medium,high,high,high,low,high,high,low,high,high,high,low,high,high,False
245,Permit REJECTED by SUPERVISOR,missing,organizational unit 65458,medium,high,high,high,low,high,high,low,high,high,high,high,high,high,False
246,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,low,low,low,low,low,low,False
247,Request Payment,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,low,low,low,low,low,low,False
248,Payment Handled,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,low,low,low,low,low,low,False
249,start,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,high,high,high,medium,high,low,True
250,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,medium,high,medium,False
251,Permit APPROVED by PRE_APPROVER,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,low,low,low,low,low,low,False
252,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,low,low,low,low,low,low,False
253,Start trip,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,high,high,high,medium,high,low,False
254,End trip,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,high,high,high,medium,high,low,False
255,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,medium,high,medium,False
256,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,low,low,low,low,low,low,False
257,Request Payment,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,medium,high,low,False
258,Payment Handled,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,medium,high,low,False
259,archive_application,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,high,high,high,medium,high,low,False
260,Declaration REJECTED by PRE_APPROVER,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,low,low,low,low,low,low,False
261,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,high,high,medium,False
262,Permit APPROVED by PRE_APPROVER,task 427,organizational unit 65455,medium,high,high,high,high,high,high,low,low,low,low,medium,low,high,False
263,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65455,medium,high,high,high,high,high,high,low,low,low,low,high,low,high,False
264,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,low,low,low,low,low,low,False
265,Declaration REJECTED by MISSING,task 427,organizational unit 65455,high,high,high,medium,high,high,high,low,high,high,high,high,high,medium,False
266,Declaration REJECTED by MISSING,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,high,high,high,False
267,Permit REJECTED by PRE_APPROVER,task 427,organizational unit 65458,medium,high,high,high,high,high,high,low,high,high,high,medium,high,high,False
268,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65455,high,low,low,medium,high,low,low,low,low,low,low,low,low,low,False
269,Declaration REJECTED by PRE_APPROVER,task 427,organizational unit 65455,medium,high,high,low,high,high,high,low,low,low,low,low,low,low,False
270,Permit APPROVED by PRE_APPROVER,task 427,organizational unit 65455,high,low,low,low,high,low,low,low,low,low,low,low,low,low,False
271,Permit REJECTED by MISSING,task 427,organizational unit 65455,medium,high,high,high,high,high,high,low,low,low,low,high,low,high,False
272,Permit APPROVED by PRE_APPROVER,task 427,organizational unit 65455,high,low,low,high,medium,high,high,low,low,low,low,high,low,high,False
273,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65455,high,low,low,medium,high,high,high,low,low,low,low,high,low,high,False
274,Permit REJECTED by MISSING,missing,organizational unit 65455,high,low,low,high,low,high,high,low,low,low,low,medium,low,high,False
275,Declaration REJECTED by DIRECTOR,missing,organizational unit 65458,medium,high,high,low,high,high,high,low,high,high,high,high,high,high,False
276,Permit REJECTED by MISSING,missing,organizational unit 65458,high,low,low,high,low,low,low,low,low,low,low,low,low,medium,False
277,Permit APPROVED by PRE_APPROVER,task 427,organizational unit 65455,medium,high,low,low,low,high,high,low,low,low,low,low,low,low,False
278,Declaration APPROVED by PRE_APPROVER,task 427,organizational unit 65455,medium,high,low,low,low,high,high,low,low,low,low,low,low,low,False
279,Permit REJECTED by SUPERVISOR,task 427,organizational unit 65458,high,high,high,medium,high,high,high,low,medium,medium,medium,medium,medium,medium,False
280,Permit REJECTED by EMPLOYEE,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,medium,high,high,False
281,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,high,high,high,False
282,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,high,high,high,False
283,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,high,high,high,medium,high,high,high,low,high,high,high,high,high,high,False
284,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,high,high,high,medium,high,high,high,low,high,high,high,high,high,high,False
285,Declaration REJECTED by SUPERVISOR,task 427,organizational unit 65458,high,high,high,medium,high,high,high,low,medium,medium,medium,medium,medium,high,False
286,Permit REJECTED by PRE_APPROVER,task 427,organizational unit 65455,high,high,high,high,high,high,high,low,high,high,high,high,high,high,False
287,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,high,high,high,high,high,high,high,low,high,high,high,medium,high,medium,False
288,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,medium,high,high,False
289,Declaration APPROVED by BUDGET OWNER,missing,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,medium,high,medium,False
290,Declaration REJECTED by MISSING,task 427,organizational unit 65455,high,low,low,low,high,high,high,low,low,low,low,high,low,high,False
291,Declaration REJECTED by ADMINISTRATION,missing,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,high,high,high,False
292,Permit REJECTED by MISSING,task 427,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,high,high,high,False
293,Declaration REJECTED by MISSING,missing,organizational unit 65455,high,low,low,medium,low,low,low,low,low,low,low,low,low,low,False
294,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65458,high,high,high,high,high,high,high,low,high,high,high,high,high,medium,False
295,Send Reminder,task 427,organizational unit 65458,high,high,high,low,high,high,high,low,low,low,low,low,low,high,False
296,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,high,high,high,low,high,medium,False
297,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,high,high,high,low,high,medium,False
298,Declaration REJECTED by PRE_APPROVER,task 427,organizational unit 65455,high,low,low,medium,low,low,low,low,low,low,low,low,low,low,False
299,Declaration REJECTED by BUDGET OWNER,task 427,organizational unit 65456,high,high,high,high,high,high,high,low,low,low,low,high,low,high,False
300,Declaration SAVED by EMPLOYEE,task 427,organizational unit 65458,high,high,high,high,high,high,high,low,low,low,low,high,low,low,False
301,Declaration REJECTED by PRE_APPROVER,missing,organizational unit 65455,high,low,low,high,low,high,high,low,low,low,low,high,low,medium,False
302,Permit REJECTED by BUDGET OWNER,missing,organizational unit 65458,high,high,high,high,low,high,high,low,high,high,high,low,high,high,False
303,Permit REJECTED by ADMINISTRATION,task 427,organizational unit 65454,high,high,high,high,high,high,high,medium,high,high,high,low,high,low,False
